product_name,status,date_scraped,source
Albuterol Sulfate Solution,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Amino Acid Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Atropine Sulfate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Azacitidine Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Bacitracin Ophthalmic Ointment,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Bumetanide Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Bupivacaine Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Carboplatin Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Cefotaxime Sodium Powder, For Solution",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Clindamycin Phosphate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
